task_id,train_model,loss_ndre_w,loss_ndvi_w,dir_name,model_name,status
task_002,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.0,0.1,hpfat/stage3/re_0.0_vi_0.1,hpfat-andhra-stage3-re_0.0-vi_0.1,pending
task_008,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.0,0.7,hpfat/stage3/re_0.0_vi_0.7,hpfat-andhra-stage3-re_0.0-vi_0.7,pending
task_014,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.1,0.2,hpfat/stage3/re_0.1_vi_0.2,hpfat-andhra-stage3-re_0.1-vi_0.2,pending
task_020,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.1,0.8,hpfat/stage3/re_0.1_vi_0.8,hpfat-andhra-stage3-re_0.1-vi_0.8,pending
task_026,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.2,0.3,hpfat/stage3/re_0.2_vi_0.3,hpfat-andhra-stage3-re_0.2-vi_0.3,pending
task_032,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.2,0.9,hpfat/stage3/re_0.2_vi_0.9,hpfat-andhra-stage3-re_0.2-vi_0.9,pending
task_038,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.3,0.4,hpfat/stage3/re_0.3_vi_0.4,hpfat-andhra-stage3-re_0.3-vi_0.4,pending
task_044,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.3,1.0,hpfat/stage3/re_0.3_vi_1.0,hpfat-andhra-stage3-re_0.3-vi_1.0,pending
task_050,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.4,0.5,hpfat/stage3/re_0.4_vi_0.5,hpfat-andhra-stage3-re_0.4-vi_0.5,pending
task_056,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.5,0.0,hpfat/stage3/re_0.5_vi_0.0,hpfat-andhra-stage3-re_0.5-vi_0.0,pending
task_062,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.5,0.6,hpfat/stage3/re_0.5_vi_0.6,hpfat-andhra-stage3-re_0.5-vi_0.6,pending
task_068,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.6,0.1,hpfat/stage3/re_0.6_vi_0.1,hpfat-andhra-stage3-re_0.6-vi_0.1,pending
task_074,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.6,0.7,hpfat/stage3/re_0.6_vi_0.7,hpfat-andhra-stage3-re_0.6-vi_0.7,pending
task_080,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.7,0.2,hpfat/stage3/re_0.7_vi_0.2,hpfat-andhra-stage3-re_0.7-vi_0.2,pending
task_086,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.7,0.8,hpfat/stage3/re_0.7_vi_0.8,hpfat-andhra-stage3-re_0.7-vi_0.8,pending
task_092,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.8,0.3,hpfat/stage3/re_0.8_vi_0.3,hpfat-andhra-stage3-re_0.8-vi_0.3,pending
task_098,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.8,0.9,hpfat/stage3/re_0.8_vi_0.9,hpfat-andhra-stage3-re_0.8-vi_0.9,pending
task_104,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.9,0.4,hpfat/stage3/re_0.9_vi_0.4,hpfat-andhra-stage3-re_0.9-vi_0.4,pending
task_110,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,0.9,1.0,hpfat/stage3/re_0.9_vi_1.0,hpfat-andhra-stage3-re_0.9-vi_1.0,pending
task_116,checkpoints/hpfat/stage2/re_0.0_vi_0.0/hpfat-andhra-stage2-re_0.0-vi_0.0_stage2_best.pth,1.0,0.5,hpfat/stage3/re_1.0_vi_0.5,hpfat-andhra-stage3-re_1.0-vi_0.5,pending
