task_id,train_model,loss_ndre_w,loss_ndvi_w,dir_name,model_name,status
task_005,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.0,0.4,hpfat/stage2/re_0.0_vi_0.4,hpfat-andhra-stage2-re_0.0-vi_0.4,pending
task_011,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.0,1.0,hpfat/stage2/re_0.0_vi_1.0,hpfat-andhra-stage2-re_0.0-vi_1.0,pending
task_017,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.1,0.5,hpfat/stage2/re_0.1_vi_0.5,hpfat-andhra-stage2-re_0.1-vi_0.5,pending
task_023,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.2,0.0,hpfat/stage2/re_0.2_vi_0.0,hpfat-andhra-stage2-re_0.2-vi_0.0,pending
task_029,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.2,0.6,hpfat/stage2/re_0.2_vi_0.6,hpfat-andhra-stage2-re_0.2-vi_0.6,pending
task_035,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.3,0.1,hpfat/stage2/re_0.3_vi_0.1,hpfat-andhra-stage2-re_0.3-vi_0.1,pending
task_041,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.3,0.7,hpfat/stage2/re_0.3_vi_0.7,hpfat-andhra-stage2-re_0.3-vi_0.7,pending
task_047,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.4,0.2,hpfat/stage2/re_0.4_vi_0.2,hpfat-andhra-stage2-re_0.4-vi_0.2,pending
task_053,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.4,0.8,hpfat/stage2/re_0.4_vi_0.8,hpfat-andhra-stage2-re_0.4-vi_0.8,pending
task_059,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.5,0.3,hpfat/stage2/re_0.5_vi_0.3,hpfat-andhra-stage2-re_0.5-vi_0.3,pending
task_065,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.5,0.9,hpfat/stage2/re_0.5_vi_0.9,hpfat-andhra-stage2-re_0.5-vi_0.9,pending
task_071,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.6,0.4,hpfat/stage2/re_0.6_vi_0.4,hpfat-andhra-stage2-re_0.6-vi_0.4,pending
task_077,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.6,1.0,hpfat/stage2/re_0.6_vi_1.0,hpfat-andhra-stage2-re_0.6-vi_1.0,pending
task_083,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.7,0.5,hpfat/stage2/re_0.7_vi_0.5,hpfat-andhra-stage2-re_0.7-vi_0.5,pending
task_089,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.8,0.0,hpfat/stage2/re_0.8_vi_0.0,hpfat-andhra-stage2-re_0.8-vi_0.0,pending
task_095,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.8,0.6,hpfat/stage2/re_0.8_vi_0.6,hpfat-andhra-stage2-re_0.8-vi_0.6,pending
task_101,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.9,0.1,hpfat/stage2/re_0.9_vi_0.1,hpfat-andhra-stage2-re_0.9-vi_0.1,pending
task_107,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,0.9,0.7,hpfat/stage2/re_0.9_vi_0.7,hpfat-andhra-stage2-re_0.9-vi_0.7,pending
task_113,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,1.0,0.2,hpfat/stage2/re_1.0_vi_0.2,hpfat-andhra-stage2-re_1.0-vi_0.2,pending
task_119,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.7_stage1_best.pth,1.0,0.8,hpfat/stage2/re_1.0_vi_0.8,hpfat-andhra-stage2-re_1.0-vi_0.8,pending
